time,cmd_dq,state_dq
0,0,0
0.01,0.0299995,-0
0.02,0.059996,-0
0.03,0.0899865,-0
0.04,0.119968,0.019934
0.05,0.149938,0.019934
0.06,0.179892,-0
0.07,0.209829,0.0332233
0.08,0.239744,0.0332233
0.09,0.269636,0.0332233
0.1,0.2995,0.0730912
0.11,0.329335,0.0996698
0.12,0.359137,0.0996698
0.13,0.388902,0.0996698
0.14,0.418629,0.0996698
0.15,0.448314,0.0996698
0.16,0.477955,0.0996698
0.17,0.507547,0.0996698
0.18,0.537089,0.0996698
0.19,0.566577,0.0996698
0.2,0.596008,0.0996698
0.21,0.62538,0.0996698
0.22,0.654689,0.0996698
0.23,0.683933,0.0996698
0.24,0.713108,0.0996698
0.25,0.742212,0.0996698
0.26,0.771242,0.77078
0.27,0.800194,0.57144
0.28,0.829067,0.890384
0.29,0.857857,0.465126
0.3,0.886561,0.491704
0.31,0.915176,0.558151
0.32,0.9437,0.431903
0.33,0.972129,0.850516
0.34,1.00046,0.57144
0.35,1.02869,0.890384
0.36,1.05682,0.67111
0.37,1.08485,1.04321
0.38,1.11276,0.684399
0.39,1.14057,0.697689
0.4,1.16826,0.823937
0.41,1.19583,0.737557
0.42,1.22328,0.990054
0.43,1.25061,1.24255
0.44,1.27782,0.737557
0.45,1.3049,0.963475
0.46,1.33184,1.32229
0.47,1.35866,0.797359
0.48,1.38534,1.08972
0.49,1.41188,1.33558
0.5,1.43828,1.21597
0.51,1.46453,1.02992
0.52,1.49064,0.950186
0.53,1.5166,1.07643
0.54,1.54241,1.21597
0.55,1.56806,1.28242
0.56,1.59356,1.5482
0.57,1.6189,1.42196
0.58,1.64407,1.68774
0.59,1.66908,1.44853
0.6,1.69393,1.40867
0.61,1.7186,1.66116
0.62,1.74311,1.28242
0.63,1.76743,1.57478
0.64,1.79159,1.32229
0.65,1.81556,1.82728
0.66,1.83935,1.79406
0.67,1.86296,1.50834
0.68,1.88638,1.46182
0.69,1.90961,1.44853
0.7,1.93265,1.38209
0.71,1.9555,1.78077
0.72,1.97815,1.7409
0.73,2.00061,2.14622
0.74,2.02286,1.62794
0.75,2.04492,1.40867
0.76,2.06676,2.01997
0.77,2.08841,1.86715
0.78,2.10984,1.76748
0.79,2.13106,1.66116
0.8,2.15207,1.78077
0.81,2.17286,2.03326
0.82,2.19344,1.60136
0.83,2.21379,2.08642
0.84,2.23393,2.01997
0.85,2.25384,1.70103
0.86,2.27353,2.01997
0.87,2.29299,1.7409
0.88,2.31222,2.01997
0.89,2.33122,1.89373
0.9,2.34998,2.1728
0.91,2.36851,2.19938
0.92,2.3868,2.04655
0.93,2.40486,1.9934
0.94,2.42267,1.94688
0.95,2.44025,2.4253
0.96,2.45757,2.03326
0.97,2.47466,2.05984
0.98,2.49149,1.89373
0.99,2.50808,2.45188
1,2.52441,2.23925
1.01,2.5405,1.94688
1.02,2.55632,2.31234
1.03,2.5719,2.09971
1.04,2.58721,2.37879
1.05,2.60227,1.9934
1.06,2.61707,2.41201
1.07,2.6316,2.6047
1.08,2.64587,2.39208
1.09,2.65988,2.53161
1.1,2.67362,2.56484
1.11,2.6871,2.46517
1.12,2.7003,2.23925
1.13,2.71324,2.4253
1.14,2.7259,2.31234
1.15,2.73829,2.18609
1.16,2.75041,2.46517
1.17,2.76225,2.49175
1.18,2.77382,2.27247
1.19,2.78511,2.09971
1.2,2.79612,2.68444
1.21,2.80685,2.5449
1.22,2.8173,2.46517
1.23,2.82747,2.5449
1.24,2.83735,2.5449
1.25,2.84695,2.69773
1.26,2.85627,2.78411
1.27,2.8653,2.37879
1.28,2.87405,2.41201
1.29,2.88251,2.47846
1.3,2.89067,2.5449
1.31,2.89855,2.50503
1.32,2.90615,2.49175
1.33,2.91345,2.46517
1.34,2.92045,2.7974
1.35,2.92717,2.68444
1.36,2.93359,2.67115
1.37,2.93972,2.28576
1.38,2.94556,2.5449
1.39,2.9511,2.47846
1.4,2.95635,2.65786
1.41,2.9613,2.57813
1.42,2.96596,2.53161
1.43,2.97031,2.51832
1.44,2.97438,2.56484
1.45,2.97814,2.63128
1.46,2.98161,2.47846
1.47,2.98477,2.53161
1.48,2.98764,2.61799
1.49,2.99021,2.83727
1.5,2.99248,2.71766
1.51,2.99446,2.69773
1.52,2.99613,2.33892
1.53,2.9975,2.78411
1.54,2.99858,2.73095
1.55,2.99935,2.85056
1.56,2.99983,2.56484
1.57,3,2.67115
1.58,2.99987,2.71766
1.59,2.99945,2.61799
1.6,2.99872,2.57813
1.61,2.99769,2.64457
1.62,2.99637,2.65786
1.63,2.99474,2.68444
1.64,2.99282,2.7974
1.65,2.9906,2.91036
1.66,2.98807,2.61799
1.67,2.98525,2.53161
1.68,2.98213,2.5449
1.69,2.97871,2.5449
1.7,2.97499,2.73095
1.71,2.97098,2.69773
1.72,2.96667,2.71766
1.73,2.96206,2.92365
1.74,2.95716,2.82398
1.75,2.95196,2.81069
1.76,2.94646,2.49175
1.77,2.94067,2.37879
1.78,2.93459,2.3655
1.79,2.92821,2.33892
1.8,2.92154,2.81069
1.81,2.91458,2.77082
1.82,2.90733,2.77082
1.83,2.89978,2.74424
1.84,2.89195,2.64457
1.85,2.88383,2.37879
1.86,2.87541,2.67115
1.87,2.86671,2.81069
1.88,2.85773,2.73095
1.89,2.84846,2.73095
1.9,2.8389,2.3655
1.91,2.82906,2.33892
1.92,2.81894,2.29905
1.93,2.80853,2.57813
1.94,2.79785,2.63128
1.95,2.78688,2.64457
1.96,2.77563,2.53161
1.97,2.76411,2.29905
1.98,2.75231,2.59142
1.99,2.74024,2.45188
2,2.72789,2.49175
2.01,2.71527,2.33892
2.02,2.70238,2.4253
2.03,2.68922,2.18609
2.04,2.67579,2.25918
2.05,2.66209,2.5449
2.06,2.64812,2.6047
2.07,2.63389,2.21267
2.08,2.6194,2.3655
2.09,2.60464,2.32563
2.1,2.58963,2.25918
2.11,2.57435,2.45188
2.12,2.55882,2.22596
2.13,2.54303,2.00669
2.14,2.52699,2.50503
2.15,2.5107,2.13293
2.16,2.49415,2.18609
2.17,2.47735,2.31234
2.18,2.46031,1.96682
2.19,2.44302,2.07313
2.2,2.42549,1.85386
2.21,2.40771,2.37879
2.22,2.3897,2.09971
2.23,2.37144,1.88044
2.24,2.35295,1.89373
2.25,2.33422,2.31234
2.26,2.31526,1.94688
2.27,2.29606,1.90702
2.28,2.27664,2.14622
2.29,2.25699,1.60136
2.3,2.23712,2.14622
2.31,2.21702,1.90702
2.32,2.19669,1.76748
2.33,2.17615,2.19938
2.34,2.15539,1.86715
2.35,2.13442,1.60136
2.36,2.11323,2.01997
2.37,2.09183,1.90702
2.38,2.07022,1.60136
2.39,2.04841,1.72761
2.4,2.02639,1.9934
2.41,2.00417,1.64123
2.42,1.98174,1.40867
2.43,1.95912,1.78077
2.44,1.9363,1.81399
2.45,1.91329,1.89373
2.46,1.89009,1.4884
2.47,1.8667,1.44853
2.48,1.84312,1.5482
2.49,1.81936,1.52163
2.5,1.79542,1.79406
2.51,1.77129,1.70103
2.52,1.74699,1.66116
2.53,1.72252,1.7409
2.54,1.69787,1.68774
2.55,1.67305,1.26913
2.56,1.64807,1.34886
2.57,1.62292,1.58807
2.58,1.5976,1.44853
2.59,1.57213,1.33558
2.6,1.5465,1.46182
2.61,1.52072,1.4884
2.62,1.49478,1.56149
2.63,1.4687,1.25584
2.64,1.44247,1.06314
2.65,1.41609,0.976764
2.66,1.38957,1.04321
2.67,1.36292,1.16946
2.68,1.33612,1.10301
2.69,1.3092,1.25584
2.7,1.28214,0.890384
2.71,1.25495,1.10301
2.72,1.22764,1.32229
2.73,1.20021,1.04321
2.74,1.17265,0.810648
2.75,1.14498,1.04321
2.76,1.1172,0.963475
2.77,1.0893,0.810648
2.78,1.06129,1.15617
2.79,1.03318,0.810648
2.8,1.00496,0.58473
2.81,0.976648,1.00334
2.82,0.948234,0.617953
2.83,0.919725,0.823937
2.84,0.891124,0.598019
2.85,0.862434,0.963475
2.86,0.833658,0.558151
2.87,0.804798,0.598019
2.88,0.775858,0.392035
2.89,0.74684,0.631242
2.9,0.717748,0.631242
2.91,0.688584,0.478415
2.92,0.659351,0.631242
2.93,0.630052,0.405324
2.94,0.60069,0.558151
2.95,0.571268,0.657821
2.96,0.541789,0.265786
2.97,0.512255,0.172761
2.98,0.482671,-0
2.99,0.453038,-0.0132893
3,0.42336,-0
3.01,0.39364,-0
3.02,0.36388,-0
3.03,0.334084,-0.0132893
3.04,0.304254,-0
3.05,0.274394,-0
3.06,0.244506,-0.0132893
3.07,0.214595,-0.0132893
3.08,0.184661,-0
3.09,0.154709,-0.0132893
3.1,0.124742,-0.0132893
3.11,0.0947622,-0.0132893
3.12,0.0647729,0.019934
3.13,0.0347772,-0.0132893
3.14,0.00477796,-0.0132893
3.15,-0.0252217,0.019934
3.16,-0.0552189,-0
3.17,-0.0852106,-0.0132893
3.18,-0.115194,-0.0265786
3.19,-0.145165,-0.0132893
3.2,-0.175122,-0.0132893
3.21,-0.205062,-0.0398679
3.22,-0.234981,-0.152827
3.23,-0.264877,-0.232563
3.24,-0.294746,-0.119604
3.25,-0.324585,-0.192695
3.26,-0.354393,-0.0664465
3.27,-0.384164,0.0465126
3.28,-0.413898,-0
3.29,-0.44359,-0
3.3,-0.473237,-0
3.31,-0.502837,-0.0132893
3.32,-0.532387,-0.0132893
3.33,-0.561884,-0
3.34,-0.591325,-0.0398679
3.35,-0.620706,-0.0132893
3.36,-0.650025,-0.0265786
3.37,-0.67928,-0.119604
3.38,-0.708466,-0.219274
3.39,-0.737582,-0.259142
3.4,-0.766623,-0.48506
3.41,-0.795588,-0.511638
3.42,-0.824474,-0.438547
3.43,-0.853277,-0.651176
3.44,-0.881995,-0.358811
3.45,-0.910625,-0.411969
3.46,-0.939163,-0.804003
3.47,-0.967608,-0.730912
3.48,-0.995956,-0.664465
3.49,-1.0242,-0.591374
3.5,-1.05235,-0.750846
3.51,-1.08039,-0.85716
3.52,-1.10832,-0.578085
3.53,-1.13614,-0.730912
3.54,-1.16385,-0.817293
3.55,-1.19144,-0.996698
3.56,-1.21892,-0.85716
3.57,-1.24627,-0.730912
3.58,-1.27349,-1.00999
3.59,-1.30059,-1.0565
3.6,-1.32756,-0.87045
3.61,-1.3544,-1.0565
3.62,-1.3811,-1.13624
3.63,-1.40766,-1.40202
3.64,-1.43408,-0.943541
3.65,-1.46036,-0.903673
3.66,-1.48649,-1.12295
3.67,-1.51248,-1.0565
3.68,-1.53831,-1.45518
3.69,-1.56399,-1.28906
3.7,-1.58951,-1.56814
3.71,-1.61487,-1.10966
3.72,-1.64007,-1.14953
3.73,-1.66511,-1.08308
3.74,-1.68998,-1.22262
3.75,-1.71468,-1.14953
3.76,-1.73921,-1.1761
3.77,-1.76357,-1.2492
3.78,-1.78775,-1.41531
3.79,-1.81175,-1.51498
3.8,-1.83557,-1.65452
3.81,-1.85921,-1.72097
3.82,-1.88266,-1.8605
3.83,-1.90592,-1.55485
3.84,-1.929,-1.28906
3.85,-1.95188,-1.45518
3.86,-1.97456,-1.59472
3.87,-1.99705,-1.94024
3.88,-2.01933,-1.77412
3.89,-2.04142,-1.72097
3.9,-2.0633,-1.45518
3.91,-2.08497,-1.73425
3.92,-2.10644,-2.27912
3.93,-2.12769,-1.54156
3.94,-2.14874,-1.69439
3.95,-2.16956,-2.0532
3.96,-2.19018,-1.74754
3.97,-2.21057,-1.70768
3.98,-2.23074,-1.66781
3.99,-2.25068,-1.6811
4,-2.27041,-1.66781
4.01,-2.2899,-1.98675
4.02,-2.30917,-1.90037
4.03,-2.3282,-1.97346
4.04,-2.34701,-1.76083
4.05,-2.36558,-1.87379
4.06,-2.38391,-2.07978
4.07,-2.402,-1.76083
4.08,-2.41985,-2.16616
4.09,-2.43746,-1.8605
4.1,-2.45483,-2.16616
4.11,-2.47195,-1.88708
4.12,-2.48883,-2.19274
4.13,-2.50545,-1.91366
4.14,-2.52183,-2.20603
4.15,-2.53795,-2.0532
4.16,-2.55382,-2.26583
4.17,-2.56943,-2.13958
4.18,-2.58479,-1.94024
4.19,-2.59989,-2.09307
4.2,-2.61473,-1.96017
4.21,-2.6293,-2.17945
4.22,-2.64362,-2.27912
4.23,-2.65767,-2.13958
4.24,-2.67145,-2.35885
4.25,-2.68497,-2.13958
4.26,-2.69822,-2.19274
4.27,-2.71119,-2.47181
4.28,-2.7239,-2.09307
4.29,-2.73634,-2.06649
4.3,-2.7485,-2.29241
4.31,-2.76038,-2.41865
4.32,-2.77199,-2.21931
4.33,-2.78333,-2.113
4.34,-2.79438,-2.3057
4.35,-2.80516,-2.40536
4.36,-2.81565,-2.51168
4.37,-2.82587,-2.43194
4.38,-2.8358,-2.43194
4.39,-2.84544,-2.49839
4.4,-2.85481,-2.41865
4.41,-2.86388,-2.44523
4.42,-2.87267,-2.37214
4.43,-2.88118,-2.57148
4.44,-2.88939,-2.7376
4.45,-2.89732,-3.00338
4.46,-2.90496,-2.43194
4.47,-2.9123,-2.40536
4.48,-2.91936,-2.40536
4.49,-2.92612,-2.75089
4.5,-2.93259,-2.35885
4.51,-2.93877,-2.76418
4.52,-2.94465,-2.87714
4.53,-2.95024,-2.29241
4.54,-2.95553,-2.33227
4.55,-2.96053,-2.31898
4.56,-2.96523,-2.41865
4.57,-2.96964,-2.77747
4.58,-2.97375,-2.79075
4.59,-2.97756,-2.93029
4.6,-2.98107,-3.01667
4.61,-2.98429,-2.52497
4.62,-2.98721,-2.55819
4.63,-2.98982,-2.52497
4.64,-2.99214,-2.65122
4.65,-2.99416,-2.59806
4.66,-2.99588,-2.71102
4.67,-2.99731,-2.89042
4.68,-2.99843,-2.7376
4.69,-2.99925,-2.69109
4.7,-2.99977,-2.66451
4.71,-2.99999,-2.52497
4.72,-2.99991,-2.57148
4.73,-2.99953,-2.65122
4.74,-2.99886,-2.81733
4.75,-2.99788,-2.77747
4.76,-2.9966,-2.58477
4.77,-2.99502,-2.49839
4.78,-2.99315,-2.63793
4.79,-2.99097,-2.6778
4.8,-2.98849,-2.59806
4.81,-2.98572,-2.77747
4.82,-2.98265,-2.75089
4.83,-2.97928,-2.6778
4.84,-2.97561,-2.84391
4.85,-2.97164,-2.53826
4.86,-2.96738,-2.44523
4.87,-2.96282,-2.4851
4.88,-2.95796,-2.53826
4.89,-2.95281,-2.35885
4.9,-2.94736,-2.49839
4.91,-2.94162,-2.58477
4.92,-2.93558,-2.59806
4.93,-2.92925,-2.63793
4.94,-2.92262,-2.43194
4.95,-2.91571,-2.61135
4.96,-2.9085,-2.44523
4.97,-2.901,-2.38543
4.98,-2.89322,-2.49839
4.99,-2.88514,-2.53826
5,-2.87677,-2.63793
5.01,-2.86812,-2.51168
5.02,-2.85918,-2.47181
5.03,-2.84995,-2.40536
5.04,-2.84044,-2.3057
5.05,-2.83065,-2.51168
5.06,-2.82057,-2.55819
5.07,-2.81021,-2.3057
5.08,-2.79957,-2.21931
5.09,-2.78864,-2.3057
5.1,-2.77744,-2.47181
5.11,-2.76597,-2.58477
5.12,-2.75421,-2.4851
5.13,-2.74218,-2.45852
5.14,-2.72988,-2.26583
5.15,-2.7173,-2.38543
5.16,-2.70445,-2.3057
5.17,-2.69133,-2.19274
5.18,-2.67794,-2.26583
5.19,-2.66429,-2.44523
5.2,-2.65036,-2.2326
5.21,-2.63618,-2.113
5.22,-2.62172,-2.37214
5.23,-2.60701,-2.27912
5.24,-2.59204,-2.0532
5.25,-2.5768,-2.34556
5.26,-2.56131,-2.17945
5.27,-2.54557,-2.34556
5.28,-2.52956,-2.52497
5.29,-2.51331,-1.87379
5.3,-2.4968,-2.31898
5.31,-2.48005,-2.43194
5.32,-2.46304,-2.15287
5.33,-2.44579,-2.31898
5.34,-2.4283,-1.94024
5.35,-2.41056,-2.29241
5.36,-2.39258,-2.33227
5.37,-2.37436,-1.94024
5.38,-2.35591,-1.94024
5.39,-2.33722,-2.02662
5.4,-2.31829,-2.3057
5.41,-2.29914,-2.12629
5.42,-2.27975,-2.12629
5.43,-2.26014,-1.98675
5.44,-2.2403,-2.07978
5.45,-2.22023,-2.3057
5.46,-2.19995,-1.6213
5.47,-2.17944,-2.06649
5.48,-2.15872,-2.01333
5.49,-2.13777,-1.80735
5.5,-2.11662,-1.88708
5.51,-2.09526,-1.84721
5.52,-2.07368,-1.74754
5.53,-2.0519,-2.01333
5.54,-2.02991,-1.56814
5.55,-2.00772,-1.91366
5.56,-1.98533,-2.113
5.57,-1.96274,-1.50169
5.58,-1.93995,-1.52827
5.59,-1.91697,-1.98675
5.6,-1.8938,-1.77412
5.61,-1.87044,-1.96017
5.62,-1.84689,-1.45518
5.63,-1.82316,-1.28906
5.64,-1.79924,-1.54156
5.65,-1.77515,-1.36215
5.66,-1.75087,-1.74754
5.67,-1.72643,-1.83392
5.68,-1.70181,-1.38873
5.69,-1.67701,-1.37544
5.7,-1.65206,-1.10966
5.71,-1.62693,-1.36215
5.72,-1.60165,-1.12295
5.73,-1.5762,-1.1761
5.74,-1.5506,-1.06979
5.75,-1.52484,-1.2492
5.76,-1.49893,-1.14953
5.77,-1.47286,-1.06979
5.78,-1.44666,-1.34222
5.79,-1.4203,-1.34222
5.8,-1.39381,-1.48176
5.81,-1.36717,-1.32893
5.82,-1.3404,-1.27577
5.83,-1.31349,-0.983409
5.84,-1.28646,-0.943541
5.85,-1.25929,-1.30235
5.86,-1.232,-1.13624
5.87,-1.20459,-1.28906
5.88,-1.17705,-0.830582
5.89,-1.1494,-0.85716
5.9,-1.12163,-1.26248
5.91,-1.09375,-0.903673
5.92,-1.06576,-0.764135
5.93,-1.03766,-0.996698
5.94,-1.00947,-0.704333
5.95,-0.981164,-0.830582
5.96,-0.952766,-1.0565
5.97,-0.924272,-0.611308
5.98,-0.895685,-0.790714
5.99,-0.867009,-0.790714
6,-0.838246,-0.578085
6.01,-0.8094,-0.372101
6.02,-0.780472,-0.730912
6.03,-0.751467,-0.651176
6.04,-0.722386,-0.843871
6.05,-0.693233,-0.411969
6.06,-0.664011,-0.48506
6.07,-0.634722,-0.564796
6.08,-0.60537,-0.38539
6.09,-0.575958,-0.538217
6.1,-0.546488,-0.272431
6.11,-0.516963,-0.205984
6.12,-0.487386,-0.166116
6.13,-0.457761,-0.318943
6.14,-0.42809,-0.538217
6.15,-0.398376,-0.438547
6.16,-0.368622,-0.48506
6.17,-0.338831,-0.538217
6.18,-0.309007,-0.0531572
6.19,-0.279152,0.126248
6.2,-0.249268,0.0996698
6.21,-0.21936,-0.0265786
6.22,-0.18943,-0
6.23,-0.159481,-0
6.24,-0.129516,-0
6.25,-0.0995376,0.019934
6.26,-0.0695497,-0
6.27,-0.0395548,0.0332233
6.28,-0.00955591,0.0332233
6.29,0.0204439,-0
6.3,0.0504417,0.019934
6.31,0.0804344,0.019934
6.32,0.110419,0.019934
6.33,0.140393,0.019934
6.34,0.170352,-0
6.35,0.200295,0.019934
6.36,0.230218,0.019934
6.37,0.260117,0.019934
6.38,0.289991,-0
6.39,0.319835,0.019934
6.4,0.349648,0.019934
6.41,0.379425,0.019934
6.42,0.409165,0.0332233
6.43,0.438864,0.0465126
6.44,0.468518,0.0465126
6.45,0.498126,0.0863805
6.46,0.527684,0.18605
6.47,0.55719,0.239208
6.48,0.58664,0.0465126
6.49,0.616031,0.019934
6.5,0.64536,0.019934
6.51,0.674625,0.126248
6.52,0.703822,0.279076
6.53,0.732949,0.378745
6.54,0.762003,0.405324
6.55,0.790981,0.365456
6.56,0.819879,0.631242
6.57,0.848695,0.757491
6.58,0.877427,0.57144
6.59,0.906071,0.724267
6.6,0.934624,0.558151
6.61,0.963084,0.910318
6.62,0.991447,0.644531
6.63,1.01971,0.67111
6.64,1.04787,0.544862
6.65,1.07593,0.963475
6.66,1.10388,0.963475
6.67,1.13172,0.697689
6.68,1.15945,1.00334
6.69,1.18706,0.737557
6.7,1.21455,0.950186
6.71,1.24192,0.936896
6.72,1.26917,0.850516
6.73,1.29629,1.10301
6.74,1.32327,1.38209
6.75,1.35013,0.890384
6.76,1.37685,0.863805
6.77,1.40344,1.32229
6.78,1.42988,1.24255
6.79,1.45618,1.3688
6.8,1.48234,1.10301
6.81,1.50835,1.1163
6.82,1.5342,0.963475
6.83,1.55991,1.1163
6.84,1.58545,1.24255
6.85,1.61084,1.21597
6.86,1.63607,1.29571
6.87,1.66113,1.4884
6.88,1.68603,1.60136
6.89,1.71076,1.4884
6.9,1.73532,1.4884
6.91,1.7597,1.60136
6.92,1.78391,1.62794
6.93,1.80794,1.5482
6.94,1.83179,1.50834
6.95,1.85546,1.26913
6.96,1.87894,1.46182
6.97,1.90223,1.309
6.98,1.92533,1.79406
6.99,1.94824,1.72761
7,1.97096,1.88044
7.01,1.99348,1.57478
7.02,2.0158,1.60136
7.03,2.03791,1.46182
7.04,2.05983,1.9934
7.05,2.08153,1.72761
7.06,2.10303,1.40867
7.07,2.12432,2.18609
7.08,2.1454,1.78077
7.09,2.16626,1.71432
7.1,2.18691,1.98011
7.11,2.20733,1.98011
7.12,2.22754,1.70103
7.13,2.24752,1.90702
7.14,2.26728,1.90702
7.15,2.28681,1.84057
7.16,2.30612,1.93359
7.17,2.32519,1.71432
7.18,2.34403,2.21267
7.19,2.36263,1.82728
7.2,2.381,2.14622
7.21,2.39913,2.00669
7.22,2.41703,2.11964
7.23,2.43468,1.86715
7.24,2.45208,2.09971
7.25,2.46924,2.01997
7.26,2.48616,2.05984
7.27,2.50282,2.04655
7.28,2.51924,2.4253
7.29,2.5354,2.05984
7.3,2.55131,2.32563
7.31,2.56696,2.05984
7.32,2.58236,2.29905
7.33,2.5975,2.50503
7.34,2.61238,2.00669
7.35,2.627,2.49175
7.36,2.64136,2.50503
7.37,2.65545,1.98011
7.38,2.66927,2.31234
7.39,2.68283,2.29905
7.4,2.69612,2.23925
7.41,2.70915,2.29905
7.42,2.7219,2.39208
7.43,2.73437,2.01997
7.44,2.74658,2.21267
7.45,2.75851,2.45188
7.46,2.77016,2.61799
7.47,2.78154,2.27247
7.48,2.79264,2.27247
7.49,2.80346,2.51832
7.5,2.814,2.49175
7.51,2.82426,2.63128
7.52,2.83423,2.47846
7.53,2.84393,2.18609
7.54,2.85333,2.56484
7.55,2.86246,2.59142
7.56,2.87129,2.39208
7.57,2.87984,2.33892
7.58,2.8881,2.39208
7.59,2.89608,2.46517
7.6,2.90376,2.59142
